puzzle;turn;currtemperature;turntime;currgoalval;currsize;currratio;currcrossings;currlen
0;1;1.0000;1.0581;3.1818;23.4521;0.2273;14;13
0;2;0.9850;0.0176;3.8982;23.4521;0.2436;16;14
0;3;0.9702;0.0131;4.5818;23.4521;0.2545;18;15
0;4;0.9557;0.0144;5.5273;23.4521;0.2764;20;16
0;5;0.9413;0.0165;6.5200;23.4521;0.2964;22;17
0;6;0.9272;0.0177;7.4855;23.4521;0.3255;23;18
0;7;0.9133;0.0252;8.5909;23.4521;0.3436;25;19
0;8;0.8996;0.0157;9.5236;23.4521;0.3527;27;20
0;9;0.8861;0.0228;10.4364;23.4521;0.3727;28;21
0;10;0.8728;0.0182;11.3891;23.4521;0.3927;29;22
0;11;0.8597;0.0219;12.8509;23.4521;0.4145;31;23
0;12;0.8468;0.0209;13.9055;23.4521;0.4345;32;24
0;13;0.8341;0.0276;14.8800;23.4521;0.4509;33;25
0;14;0.8216;0.0206;16.0727;23.4521;0.4727;34;26
0;15;0.8216;0.0345;16.0727;23.4521;0.4727;34;26
0;16;0.8093;0.0367;17.2800;23.4521;0.4800;36;27
0;17;0.7972;0.0304;18.7236;23.4521;0.4927;38;28
0;18;0.7852;0.0365;20.2182;23.4521;0.5055;40;29
0;19;0.7734;0.0241;21.2455;23.4521;0.5182;41;30
0;20;0.7618;0.0278;23.3600;23.4521;0.5309;44;31
0;21;0.7504;0.0279;24.3818;23.4521;0.5418;45;32
0;22;0.7391;0.0478;25.5091;23.4521;0.5545;46;33
0;23;0.7391;0.0337;25.5091;23.4521;0.5545;46;33
0;24;0.7391;0.0595;25.5091;23.4521;0.5545;46;33
0;25;0.7280;0.0376;26.4055;23.4521;0.5618;47;34
0;26;0.7171;0.0547;27.6655;23.4521;0.5764;48;35
0;27;0.7064;0.0504;29.0436;23.4521;0.5927;49;36
0;28;0.6958;0.0401;30.1818;23.4521;0.6036;50;37
0;29;0.6958;0.0547;30.1818;23.4521;0.6036;50;37
0;30;0.6853;0.0392;30.4765;23.9792;0.5861;52;38
0;31;0.6751;0.0734;32.2609;23.9792;0.6087;53;39
0;32;0.6649;0.0576;33.7148;23.9792;0.6243;54;40
0;33;0.6649;0.0428;33.7148;23.9792;0.6243;54;40
0;34;0.6550;0.0664;35.5478;23.9792;0.6348;56;41
0;35;0.6550;0.0742;35.5478;23.9792;0.6348;56;41
0;36;0.6451;0.0559;36.6783;23.9792;0.6435;57;42
0;37;0.6451;0.0733;36.6783;23.9792;0.6435;57;42
0;38;0.6355;0.0629;37.9270;23.9792;0.6539;58;43
0;39;0.6355;0.0514;37.9270;23.9792;0.6539;58;43
0;40;0.6259;0.0549;39.0939;23.9792;0.6626;59;44
0;41;0.6165;0.0602;40.3826;23.9792;0.6730;60;45
0;42;0.6165;0.0715;40.3826;23.9792;0.6730;60;45
0;43;0.6165;0.0531;40.3826;23.9792;0.6730;60;45
0;44;0.6073;0.0440;41.6922;23.9792;0.6835;61;46
0;45;0.5982;0.0578;43.1304;23.9792;0.6957;62;47
0;46;0.5982;0.0506;43.1304;23.9792;0.6957;62;47
0;47;0.5982;0.0585;43.1304;23.9792;0.6957;62;47
0;48;0.5982;0.0422;43.1304;23.9792;0.6957;62;47
0;49;0.5982;0.0846;43.1304;23.9792;0.6957;62;47
0;50;0.5982;0.0509;43.1304;23.9792;0.6957;62;47
0;51;0.5982;0.0565;43.1304;23.9792;0.6957;62;47
0;52;0.5982;0.0687;43.1304;23.9792;0.6957;62;47
0;53;0.5892;0.0695;44.3739;23.9792;0.7043;63;48
0;54;0.5892;0.0729;44.3739;23.9792;0.7043;63;48
0;55;0.5804;0.0585;45.5235;23.9792;0.7113;64;49
0;56;0.5804;0.0446;45.5235;23.9792;0.7113;64;49
0;57;0.5804;0.0526;45.5235;23.9792;0.7113;64;49
0;58;0.5804;0.0811;45.5235;23.9792;0.7113;64;49
0;59;0.5804;0.0821;45.5235;23.9792;0.7113;64;49
0;60;0.5717;0.0526;48.0070;23.9792;0.7165;67;50
0;61;0.5717;0.0981;48.0070;23.9792;0.7165;67;50
0;62;0.5717;0.0497;48.0070;23.9792;0.7165;67;50
0;63;0.5717;0.1035;48.0070;23.9792;0.7165;67;50
0;64;0.5717;0.0882;48.0070;23.9792;0.7165;67;50
0;65;0.5717;0.0622;48.0070;23.9792;0.7165;67;50
0;66;0.5631;0.0847;49.8000;23.9792;0.7217;69;51
0;67;0.5631;0.0879;49.8000;23.9792;0.7217;69;51
0;68;0.5631;0.0769;49.8000;23.9792;0.7217;69;51
0;69;0.5631;0.0572;49.8000;23.9792;0.7217;69;51
0;70;0.5631;0.0713;49.8000;23.9792;0.7217;69;51
0;71;0.5631;0.0527;49.8000;23.9792;0.7217;69;51
0;72;0.5631;0.0776;49.8000;23.9792;0.7217;69;51
0;73;0.5631;0.0545;49.8000;23.9792;0.7217;69;51
0;74;0.5631;0.0968;49.8000;23.9792;0.7217;69;51
1;1;1.0000;0.0128;2.1338;28.1425;0.1641;13;13
1;2;0.9850;0.0135;2.6705;28.1425;0.1780;15;14
1;3;0.9702;0.0137;3.2412;28.1425;0.1907;17;15
1;4;0.9557;0.0173;3.9545;28.1425;0.2197;18;16
1;5;0.9413;0.0153;3.9545;28.1425;0.2197;18;16
1;6;0.9272;0.0175;4.5202;28.1425;0.2260;20;17
1;7;0.9133;0.0191;5.1667;28.1425;0.2348;22;18
1;8;0.8996;0.0176;5.8371;28.1425;0.2538;23;19
1;9;0.8861;0.0281;6.7273;28.1425;0.2803;24;20
1;10;0.8728;0.0279;7.3864;28.1425;0.2955;25;21
1;11;0.8597;0.0223;8.1477;28.1425;0.3018;27;22
1;12;0.8468;0.0293;9.2273;28.1425;0.3182;29;23
1;13;0.8341;0.0249;10.0000;28.1425;0.3333;30;24
1;14;0.8216;0.0323;10.9596;28.1425;0.3535;31;25
1;15;0.8093;0.0371;11.6471;28.5657;0.3640;32;26
1;16;0.8093;0.0316;11.6471;28.5657;0.3640;32;26
1;17;0.8093;0.0330;11.6471;28.5657;0.3640;32;26
1;18;0.8093;0.0337;11.6471;28.5657;0.3640;32;26
1;19;0.8093;0.0405;11.6471;28.5657;0.3640;32;26
1;20;0.8093;0.0356;11.6471;28.5657;0.3640;32;26
1;21;0.8093;0.0402;11.6471;28.5657;0.3640;32;26
1;22;0.8093;0.0276;11.6471;28.5657;0.3640;32;26
1;23;0.8093;0.0297;11.6471;28.5657;0.3640;32;26
2;1;1.0000;0.0130;2.6413;25.0998;0.2032;13;13
2;2;0.9850;0.0128;3.1429;25.0998;0.2095;15;14
2;3;0.9702;0.0152;3.9397;25.0998;0.2317;17;15
2;4;0.9557;0.0163;4.5714;25.0998;0.2540;18;16
2;5;0.9413;0.0195;5.4587;25.0998;0.2873;19;17
2;6;0.9272;0.0226;6.1905;25.0998;0.3095;20;18
2;7;0.9133;0.0180;7.0333;25.0998;0.3349;21;19
2;8;0.8996;0.0200;7.6825;25.0998;0.3492;22;20
2;9;0.8861;0.0265;8.6095;25.0998;0.3587;24;21
2;10;0.8728;0.0217;9.3651;25.0998;0.3746;25;22
2;11;0.8597;0.0302;10.7111;25.0998;0.3825;28;23
2;12;0.8468;0.0286;11.6460;25.0998;0.4016;29;24
2;13;0.8341;0.0319;12.4762;25.5147;0.4025;31;25
2;14;0.8216;0.0285;13.3210;25.5147;0.4163;32;26
2;15;0.8093;0.0356;13.4516;26.1151;0.4076;33;27
