puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
0;88;32;24;0.4489;10.135937600000034;53.8473;28.7228;0.7479;72;63
1;85;31;24;0.4697;7.405383900000743;61.3975;28.2843;0.7488;82;62
2;45;33;21;0.5892;2.4003492000010738;39.7781;27.3496;0.6858;58;47
3;39;26;19;0.6958;1.9013799999993353;27.6222;23.2379;0.6278;44;36
4;75;26;18;0.5804;4.173180199999479;48.9766;22.6495;0.7310;67;48
5;59;33;18;0.5301;3.6578334999976505;51.1068;25.4165;0.7198;71;54
6;53;28;25;0.5463;3.8102599999983795;46.9178;27.4591;0.7003;67;52
7;73;28;23;0.5301;4.7491693000010855;50.6595;26.3818;0.6940;73;54
8;56;27;23;0.5982;3.1439043000027596;42.4628;25.9230;0.6533;65;45
9;68;30;16;0.5717;4.963510999998107;48.9032;22.9565;0.7192;68;49
10;56;32;17;0.6073;3.2221505000015895;46.5808;24.3721;0.6751;69;44
11;26;33;19;0.7734;0.8354154999979073;17.6294;26.0768;0.4897;36;29
12;96;31;20;0.4557;6.765054200001032;62.8646;25.9230;0.7396;85;64
13;61;32;20;0.5066;4.19040799999857;59.9134;26.3249;0.7489;80;56
14;41;26;20;0.6853;2.376980099998036;29.8554;23.8118;0.6490;46;37
15;87;32;23;0.4990;8.88556779999999;53.9280;28.1425;0.7816;69;57
16;63;24;21;0.5892;4.060429099998146;43.8709;23.4521;0.6964;63;46
17;63;31;17;0.5463;4.474517500002548;51.0642;24.0000;0.7622;67;51
18;91;31;17;0.5221;5.953742300000158;48.2986;24.0000;0.7431;65;54
19;38;16;25;0.7391;1.9040825000010955;20.1991;21.0238;0.6312;32;30
20;55;31;22;0.5804;4.229505399998743;38.5584;27.1293;0.6535;59;48
21;56;27;21;0.5631;3.510280900001817;43.4724;24.8193;0.7127;61;48
22;75;30;20;0.4990;6.717970699999569;61.8986;25.5147;0.8479;73;57
23;83;30;23;0.4768;7.39380170000004;58.6048;27.2764;0.7513;78;61
24;54;28;23;0.5804;3.696822699999757;40.0862;26.3818;0.6466;62;46
25;42;29;17;0.6355;2.2307034000004933;31.3481;23.2379;0.6815;46;42
26;32;28;15;0.7064;2.367796000002272;30.2198;21.5407;0.7953;38;35
27;65;32;18;0.5143;5.053312200001528;49.5534;25.0400;0.7624;65;55
28;94;28;25;0.4990;7.673719099999289;51.4098;27.4591;0.7042;73;58
29;75;26;20;0.5381;5.025638999999501;55.5556;23.8118;0.7937;70;51
30;53;23;21;0.5892;2.6978070000004664;49.3258;22.9783;0.7254;68;47
31;45;23;21;0.6259;2.1205427999993844;37.5227;22.9783;0.7216;52;42
32;59;30;21;0.5463;4.578669100003026;55.1173;26.1151;0.7874;70;52
33;19;33;21;0.8597;0.522458600000391;10.1070;27.3496;0.3743;27;22
34;47;21;24;0.6958;2.2022729000018444;27.0818;23.4521;0.6018;45;35
35;60;27;22;0.5631;3.3118537999980617;46.1957;25.3772;0.6599;70;50
36;41;19;23;0.6649;1.8699137999974482;37.2667;21.9089;0.7167;52;39
37;69;31;23;0.4915;5.203989000001457;51.8034;27.7128;0.7096;73;58
38;55;31;20;0.5381;3.818978600000264;52.2857;25.9230;0.7262;72;53
39;13;26;25;0.9413;0.22795019999830402;5.0613;26.4953;0.2664;19;16
40;89;24;24;0.5066;5.786408600000868;51.8880;25.0000;0.7520;69;57
41;14;27;25;0.9272;0.3234472999974969;5.5852;26.9815;0.2940;19;17
42;69;26;21;0.5463;4.919924400001037;52.0404;24.3721;0.7542;69;52
43;48;27;23;0.6165;2.893143199999031;34.5119;25.9230;0.6637;52;44
44;83;26;23;0.5301;6.2457039000000805;51.4198;25.4558;0.7562;68;53
45;65;23;24;0.5717;4.146739499999967;42.8000;24.4949;0.7133;60;47
46;65;29;22;0.5546;4.6052139999992505;46.5623;26.2679;0.7275;64;50
47;51;30;16;0.6355;2.8469737999985227;37.0095;22.9565;0.6983;53;41
48;53;23;25;0.5982;3.2563096999983827;38.4167;24.9800;0.7388;52;45
49;57;33;20;0.5463;3.6962954999980866;40.8375;26.7208;0.6695;61;50
50;97;32;20;0.4768;8.458752500002447;60.6667;26.3249;0.7778;78;60
51;58;29;22;0.5804;5.136882499999047;40.1681;26.2679;0.7725;52;48
52;40;33;19;0.6451;2.5090405000009923;29.0515;26.0768;0.6456;45;41
53;39;22;25;0.6451;2.2298349000011513;38.1271;24.4540;0.6689;57;40
54;70;28;18;0.5982;4.399272600003314;41.3793;23.4734;0.6897;60;46
55;21;33;19;0.8341;0.6303999000010663;11.6912;26.0768;0.3897;30;24
56;76;31;24;0.4915;7.919894399998157;58.3300;28.2843;0.7675;76;59
57;64;29;23;0.5631;4.690612999998848;38.1000;26.8328;0.7056;54;48
58;91;27;24;0.4626;6.95106400000077;59.8229;26.4575;0.7871;76;62
59;71;26;24;0.4697;4.95417919999818;59.6741;25.9808;0.7852;76;62
