puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
67;77;30;20;0.5221;5.820234200000414;43.4777;25.5147;0.7496;58;53
68;13;34;24;0.9413;0.2022901999989699;3.5749;29.5804;0.2103;17;16
69;47;19;23;0.6550;2.101205500002834;35.7750;21.9089;0.6750;53;40
70;41;25;25;0.6259;2.192768900000374;38.9112;26.0000;0.6080;64;43
71;61;22;17;0.6550;2.5150538999987475;35.6473;20.3470;0.7585;47;40
72;10;33;20;0.9850;0.33372959999906016;2.3025;26.7208;0.1919;12;13
73;43;20;24;0.6649;2.1518161999993026;30.3429;22.9129;0.6743;45;38
74;71;32;23;0.4626;5.372117500002787;59.8434;28.1425;0.7298;82;61
75;56;26;18;0.5631;2.7437810999981593;45.9259;22.6495;0.7407;62;49
76;66;27;22;0.5301;4.062708900000871;48.6894;25.3772;0.7267;67;52
77;45;22;21;0.6751;2.2995181000005687;33.7964;22.4944;0.6897;49;38
78;10;33;24;0.9850;0.19381600000269827;2.5200;29.1548;0.1800;14;13
79;99;32;24;0.4421;7.7941634000017075;58.7273;28.7228;0.6909;85;65
80;58;25;21;0.5631;3.084970299998531;41.4126;23.9165;0.7395;56;47
81;52;31;23;0.5546;5.186704799998552;44.6432;27.7128;0.7201;62;51
82;49;33;23;0.5804;3.6590671999983897;38.1495;28.5657;0.6936;55;47
83;49;30;25;0.5463;3.117368899998837;40.4888;28.3901;0.6427;63;50
84;24;21;25;0.7972;0.6539136999999755;17.2500;23.9165;0.4423;39;27
85;51;19;24;0.6451;2.0746724999989965;37.2060;22.3607;0.7020;53;41
86;85;30;24;0.4557;6.7539997000021685;56.6129;27.8388;0.7548;75;63
87;39;25;25;0.6451;1.6941014000003634;30.6154;26.0000;0.5888;52;41
88;83;30;18;0.5301;5.442474499999662;53.4805;24.2693;0.7640;70;52
89;26;33;18;0.7734;0.9394705000013346;19.2585;25.4165;0.4938;39;29
90;65;28;20;0.5463;3.687367300000915;47.0345;24.6779;0.7586;62;51
91;40;23;25;0.6451;1.8241725000007136;33.5769;24.9800;0.6218;54;41
92;17;33;24;0.8861;0.38414539999939734;7.6518;29.1548;0.3188;24;20
93;69;29;24;0.4768;4.458791900000506;55.0160;27.3861;0.7053;78;60
94;72;28;21;0.4990;3.9812653999979375;51.7476;25.2587;0.7288;71;57
95;63;23;21;0.5804;4.138945300001069;49.5530;22.9783;0.7992;62;48
96;72;28;23;0.4990;4.728969199997664;50.6997;26.3818;0.7141;71;58
97;80;25;24;0.4768;5.317609400000947;54.6154;25.4951;0.7692;71;60
98;51;21;25;0.5892;2.3038266000003205;46.2500;23.9165;0.7115;65;47
99;66;32;19;0.5066;3.8319461999999476;49.0909;25.6905;0.6818;72;55
100;50;21;24;0.6550;2.748509199998807;33.2036;23.4521;0.7218;46;40
101;72;31;22;0.5631;5.174933599999349;40.9429;27.1293;0.6712;61;49
102;78;33;24;0.4915;7.170467600000848;51.5471;29.1548;0.7471;69;58
103;47;24;25;0.5804;2.5839989999985846;36.9769;25.4951;0.6723;55;47
104;88;26;23;0.5221;5.9252075999975204;53.7778;25.4558;0.7469;72;55
105;54;28;22;0.5546;4.627528699998948;47.0465;25.8263;0.7841;60;51
106;100;32;22;0.4557;8.846241100000043;61.3768;27.5500;0.7971;77;64
107;50;29;21;0.5717;3.945864099998289;40.5833;25.6905;0.7379;55;48
108;43;33;22;0.6355;2.388473500002874;31.5831;27.9643;0.5959;53;41
109;60;24;20;0.5221;3.2069274999994377;55.0686;22.9129;0.7981;69;54
110;57;25;21;0.5804;2.8063886999989336;38.0839;23.9165;0.6801;56;48
111;29;28;25;0.7391;1.132803899999999;18.7639;27.4591;0.5212;36;32
112;58;24;22;0.5892;3.5492950000007113;40.8417;23.9792;0.7165;57;46
113;55;24;17;0.5982;2.46422259999963;40.8000;21.2132;0.7556;54;43
114;71;25;20;0.5892;4.048783799997182;40.0000;23.3666;0.7143;56;45
115;77;30;20;0.5381;4.476546100002452;42.5806;25.5147;0.7097;60;51
116;34;26;25;0.6958;1.2059950000002573;24.2735;26.4953;0.5057;48;36
117;97;28;22;0.4626;6.587527499999851;64.2279;25.8263;0.7556;85;61
118;78;31;24;0.4990;5.7300398999977915;45.6225;28.2843;0.6913;66;57
119;64;26;23;0.5631;4.043237499998213;44.5231;25.4558;0.7546;59;50
120;63;28;22;0.5631;4.832480000000942;42.5577;25.8263;0.7466;57;50
121;49;23;18;0.6355;2.0976241000025766;38.0263;21.3542;0.7456;51;42
122;61;23;23;0.6355;2.979604300002393;31.0833;24.0000;0.6476;48;42
123;15;24;25;0.9133;0.34605870000086725;6.9000;25.4951;0.3000;23;18
124;62;31;22;0.5143;5.418652599997586;58.2215;27.1293;0.7976;73;56
125;55;24;22;0.5804;2.6158560999974725;37.1739;23.9792;0.6522;57;47
126;56;29;21;0.5717;3.2339229000026535;39.9864;25.6905;0.7015;57;49
127;55;33;20;0.5631;3.3433686000025773;43.6765;26.7208;0.6933;63;50
128;70;32;22;0.5143;5.250687699997798;51.8235;27.5500;0.7299;71;56
129;75;25;24;0.5804;4.456585600000835;41.9077;25.4951;0.6985;60;47
130;13;27;25;0.9413;0.24296699999831617;3.6195;26.9815;0.2129;17;16
131;48;26;19;0.5892;2.494987599999149;43.4907;23.2379;0.7130;61;46
132;62;28;20;0.5631;3.3166877000003296;46.7094;24.6779;0.7077;66;50
133;18;21;25;0.8728;0.5021926000008534;9.7308;23.9165;0.4423;22;21
134;60;28;20;0.5631;3.7716646999979275;43.7438;24.6779;0.7291;60;50
135;70;28;21;0.5143;4.106421800002863;47.5862;25.2587;0.7210;66;56
136;31;27;25;0.7171;1.481191700000636;22.3269;26.9815;0.5316;42;34
137;80;32;23;0.4290;6.722858299999643;71.1818;28.1425;0.8182;87;67
138;61;32;21;0.5717;3.7143952999977046;41.5909;26.9444;0.6818;61;49
139;75;31;24;0.4626;6.0162814000032085;60.4000;28.2843;0.7550;80;63
140;59;28;19;0.5546;3.2675421999992977;47.2276;24.0832;0.7379;64;50
141;53;33;16;0.6165;2.6942868000005546;31.6315;24.0416;0.6730;47;44
142;75;25;19;0.5463;3.689773599999171;49.8365;22.8035;0.7019;71;51
143;61;29;21;0.5301;4.117000700000062;52.9909;25.6905;0.7909;67;54
144;43;22;23;0.6958;1.7001675999999861;29.0145;23.4947;0.6594;44;36
145;62;21;25;0.5982;3.360695499999565;38.9371;23.9165;0.6713;58;46
146;52;23;23;0.5892;2.0090870000021823;31.5208;24.0000;0.6181;51;45
147;50;20;25;0.6073;2.3111977000007755;40.5495;23.3666;0.6758;60;43
148;48;26;19;0.5892;2.2225156000022253;45.5241;23.2379;0.7463;61;47
149;44;19;25;0.6355;1.7988392999977805;33.2692;22.8035;0.6654;50;41
150;70;22;23;0.5804;4.530169000001479;37.5906;23.4947;0.7518;50;48
151;61;27;22;0.5221;3.64778060000026;55.9006;25.3772;0.7453;75;55
152;48;26;19;0.6751;3.0434220999995887;30.6444;23.2379;0.7296;42;37
153;59;29;23;0.5546;3.0805393000009644;40.3750;26.8328;0.7083;57;51
154;62;22;19;0.6451;2.713147200000094;33.7174;21.4476;0.7174;47;40
